'Year','Indonesia','United States of America'
'1950',39,68
'1951',40,68
'1952',41,68
'1953',41,69
'1954',42,69
'1955',43,70
'1956',44,70
'1957',44,69
'1958',45,70
'1959',46,70
'1960',46,70
'1961',47,70
'1962',48,70
'1963',48,70
'1964',49,70
'1965',43,70
'1966',48,70
'1967',51,71
'1968',52,70
'1969',52,70
'1970',53,71
'1971',54,71
'1972',54,71
'1973',55,71
'1974',55,72
'1975',56,73
'1976',57,73
'1977',57,73
'1978',58,73
'1979',58,74
'1980',59,74
'1981',59,74
'1982',60,74
'1983',60,75
'1984',61,75
'1985',61,75
'1986',62,75
'1987',62,75
'1988',62,75
'1989',63,75
'1990',63,75
'1991',64,76
'1992',64,76
'1993',65,76
'1994',65,76
'1995',65,76
'1996',65,76
'1997',66,76
'1998',66,77
'1999',66,77
'2000',66,77
'2001',67,77
'2002',67,77
'2003',67,77
'2004',66,78
'2005',68,78
'2006',68,78
'2007',68,78
'2008',68,78
'2009',68,79
'2010',69,79
'2011',69,79
'2012',69,79
'2013',69,79
'2014',70,79
'2015',70,79
'2016',70,79
'2017',70,79
'2018',70,79
'2019',71,79
'2020',69,77
'2021',68,77
'2022',68,78
'2023',71,80
'2024',71,80
'2025',71,80
'2026',72,80
'2027',72,80
'2028',72,80
'2029',72,81
'2030',72,81
'2031',72,81
'2032',72,81
'2033',72,81
'2034',73,81
'2035',73,82
'2036',73,82
'2037',73,82
'2038',73,82
'2039',73,82
'2040',73,82
'2041',73,82
'2042',74,83
'2043',74,83
'2044',74,83
'2045',74,83
'2046',74,83
'2047',74,83
'2048',74,83
'2049',75,84
'2050',75,84
'2051',75,84
'2052',75,84
'2053',75,84
'2054',75,84
'2055',75,84
'2056',75,84
'2057',76,85
'2058',76,85
'2059',76,85
'2060',76,85
'2061',76,85
'2062',76,85
'2063',76,85
'2064',77,85
'2065',77,86
'2066',77,86
'2067',77,86
'2068',77,86
'2069',77,86
'2070',77,86
'2071',78,86
'2072',78,86
'2073',78,87
'2074',78,87
'2075',78,87
'2076',78,87
'2077',78,87
'2078',79,87
'2079',79,87
'2080',79,87
'2081',79,87
'2082',79,88
'2083',79,88
'2084',79,88
'2085',80,88
'2086',80,88
'2087',80,88
'2088',80,88
'2089',80,88
'2090',80,88
'2091',81,89
'2092',81,89
'2093',81,89
'2094',81,89
'2095',81,89
'2096',81,89
'2097',81,89
'2098',82,89
'2099',82,90
'2100',82,90
